year,cname_year,wdi_armedf,wdi_armedfper,wdi_expmilgdp,wdi_expmilgexp,wdi_imparms,scf_milexp,scf_ExpPerTroop,scf_Praetorian
1990,Afghanistan 1990,58000,2,.,.,1900000000,.,.,.
1990,Angola 1990,115000,3,17.333,.,140000000,.,.,.
1990,Albania 1990,.,.,5.888,.,.,320195894.42,.,.
1990,Andorra 1990,.,.,.,.,.,.,.,.
1990,United Arab Emirates 1990,66000,7,.,.,559000000,.,.,.
1990,Argentina 1990,85000,1,1.368,.,167000000,1754371573.37,20639.42,5.27
1990,Armenia 1990,.,.,.,.,.,.,.,.
1990,Antigua and Barbuda 1990,.,.,.,.,.,.,.,.
1990,Australia 1990,68000,1,2.125,.,352000000,9072200722.87,133412.75,5.33
1990,Austria 1990,43000,1,1.188,.,5000000,2649717285.18,61619.90,2.12
1990,Azerbaijan 1990,.,.,.,.,.,.,.,.
1990,Burundi 1990,12000,0,3.498,.,6000000,42816824.07,3567.77,16.36
1990,Belgium 1990,106000,3,2.250,.,320000000,6383158353.58,60217.91,2.12
1990,Benin 1990,6000,0,1.674,.,.,42267866.08,7043.47,13.95
1990,Burkina Faso 1990,10000,0,2.724,.,.,65120331.16,6511.38,23.99
1990,Bangladesh 1990,103000,0,1.072,.,187000000,367735251.26,3570.21,11.03
1990,Bulgaria 1990,129000,3,3.833,7,758000000,954034573.54,7395.56,2.59
1990,Bahrain 1990,8000,4,5.686,.,362000000,411627403.30,51446.99,3.52
1990,Bahamas 1990,.,.,.,.,2000000,.,.,.
1990,Bosnia and Herzegovina 1990,.,.,.,.,.,.,.,.
1990,Belarus 1990,.,.,.,.,.,.,.,.
1990,Belize 1990,1000,2,1.155,7,.,5588516.21,5582.93,2.16
1990,Bolivia 1990,30000,1,2.824,.,.,159981353.44,5332.53,6.45
1990,Brazil 1990,295000,0,6.330,19,150000000,37903395895.94,128485.65,32.27
1990,Barbados 1990,.,.,.,.,.,.,.,.
1990,Brunei 1990,4000,4,6.566,.,3000000,452664289.04,113137.79,4.22
1990,Bhutan 1990,.,.,.,.,.,.,.,.
1990,Botswana 1990,6000,1,4.122,15,22000000,212815546.77,35463.35,9.48
1990,Central African Republic 1990,4000,0,.,.,.,.,.,.
1990,Canada 1990,87000,1,1.928,.,159000000,14933920493.67,171652.29,6.16
1990,Switzerland 1990,22000,1,1.576,.,455000000,5291174361.60,240496.99,4.81
1990,Chile 1990,95000,2,3.268,.,130000000,1779964148.55,18736.27,4.52
1990,China 1990,3500000,1,2.610,.,214000000,13773120758.53,3935.18,8.47
1990,Cote d'Ivoire 1990,15000,0,1.334,.,.,181494609.09,12098.83,10.82
1990,Cameroon 1990,23000,1,1.466,10,8000000,176951432.46,7693.21,7.70
1990,"Congo, Democratic Republic 1990",55000,0,.,.,4000000,.,.,.
1990,Congo 1990,9000,1,.,.,44000000,.,.,.
1990,Colombia 1990,110000,1,2.210,.,13000000,2085393871.84,18957.95,6.88
1990,Comoros 1990,.,.,.,.,.,.,.,.
1990,Cape Verde 1990,1000,1,.,.,.,.,.,.
1990,Costa Rica 1990,8000,1,.,.,.,.,.,.
1990,Czechoslovakia 1990,.,.,.,.,.,.,.,.
1990,Cuba 1990,297000,7,6.406,.,169000000,2468944594.46,8312.92,2.28
1990,Cyprus (-1974) 1990,.,.,.,.,.,.,.,.
1990,Cyprus (1975-) 1990,10000,3,7.374,.,68000000,749561301.06,74948.64,4.28
1990,Czech Republic 1990,.,.,.,.,.,.,.,.
1990,"Germany, East 1990",.,.,.,.,.,.,.,.
1990,Germany 1990,.,.,.,.,.,.,.,.
1990,"Germany, West 1990",.,.,.,.,.,.,.,.
1990,Djibouti 1990,4000,3,6.879,.,.,50421558.45,12602.24,10.12
1990,Dominica 1990,.,.,.,.,.,.,.,.
1990,Denmark 1990,31000,1,1.919,.,121000000,3646453228.06,117623.73,3.18
1990,Dominican Republic 1990,21000,1,0.676,.,.,107211933.52,5105.09,2.31
1990,Algeria 1990,126000,2,1.457,.,735000000,973021499.52,7722.33,3.00
1990,Ecuador 1990,53000,1,1.326,18,3000000,355466828.14,6706.79,2.56
1990,Egypt 1990,434000,3,4.664,19,576000000,2310104188.56,5322.81,6.06
1990,Eritrea 1990,.,.,.,.,.,.,.,.
1990,Spain 1990,263000,2,1.692,.,709000000,12588961574.12,47866.59,2.50
1990,Estonia 1990,.,.,.,.,.,.,.,.
1990,Ethiopia (-1992) 1990,250000,1,6.448,40,3000000,446105170.68,1784.41,12.39
1990,Ethiopia (1993-) 1990,.,.,.,.,.,.,.,.
1990,Finland 1990,31000,1,1.513,.,90000000,2172628791.62,70082.54,2.43
1990,Fiji 1990,5000,2,2.284,10,1000000,48305408.46,9659.15,3.33
1990,France (-1962) 1990,.,.,.,.,.,.,.,.
1990,France (1963-) 1990,550000,2,3.340,.,60000000,55107423325.50,100195.13,3.55
1990,Micronesia 1990,.,.,.,.,14000000,.,.,.
1990,Gabon 1990,9000,3,.,.,30000000,.,.,.
1990,United Kingdom 1990,308000,1,3.562,.,117000000,57624878874.25,187093.16,6.62
1990,Georgia 1990,.,.,.,.,.,.,.,.
1990,Ghana 1990,9000,0,0.469,.,4000000,25840985.43,2870.90,7.62
1990,Guinea 1990,15000,1,.,.,1000000,.,.,.
1990,Gambia 1990,2000,1,1.093,7,.,4254052.96,2125.96,5.01
1990,Guinea-Bissau 1990,12000,3,.,.,20000000,.,.,.
1990,Equatorial Guinea 1990,1000,0,.,.,.,.,.,.
1990,Greece 1990,201000,5,3.262,.,899000000,5249773348.37,26118.15,1.65
1990,Grenada 1990,.,.,.,.,.,.,.,.
1990,Guatemala 1990,43000,1,1.471,16,0,230399790.79,5358.01,3.13
1990,Guyana 1990,4000,1,0.906,.,.,4475148.79,1118.51,1.63
1990,Honduras 1990,18000,1,.,.,.,.,.,.
1990,Croatia 1990,.,.,.,.,.,.,.,.
1990,Haiti 1990,8000,0,.,.,.,.,.,.
1990,Hungary 1990,94000,2,.,.,14000000,.,.,.
1990,Indonesia 1990,283000,0,1.410,.,202000000,2117024446.61,7480.63,9.04
1990,India 1990,1260000,0,3.146,21,2724000000,11019342554.00,8745.50,21.74
1990,Ireland 1990,13000,1,1.222,.,.,986265546.22,75860.75,3.30
1990,Iran 1990,440000,3,2.954,20,454000000,3621815450.00,8231.38,3.77
1990,Iraq 1990,1390000,36,.,.,779000000,.,.,.
1990,Iceland 1990,.,.,.,.,.,.,.,.
1990,Israel 1990,190000,11,14.806,.,84000000,9337894964.73,49146.56,3.63
1990,Italy 1990,493000,2,1.985,.,160000000,29805085370.87,60456.44,2.28
1990,Jamaica 1990,3000,0,0.598,.,.,51256803.91,17079.91,4.76
1990,Jordan 1990,100000,15,7.751,26,14000000,434132715.23,4341.28,2.46
1990,Japan 1990,250000,0,0.805,.,2654000000,30988451181.33,123953.31,3.98
1990,Kazakhstan 1990,.,.,.,.,.,.,.,.
1990,Kenya 1990,20000,0,2.875,.,42000000,374339364.40,18716.03,33.70
1990,Kyrgyzstan 1990,.,.,.,.,.,.,.,.
1990,Cambodia 1990,112000,3,.,.,45000000,.,.,.
1990,Kiribati 1990,.,.,.,.,.,.,.,.
1990,St Kitts and Nevis 1990,.,.,.,.,.,.,.,.
1990,"Korea, South 1990",650000,3,3.551,27,1217000000,13439220320.64,20675.69,2.34
1990,Kuwait 1990,7000,1,48.707,105,329000000,.,.,.
1990,Laos 1990,55000,3,.,.,8000000,.,.,.
1990,Lebanon 1990,36000,5,7.552,.,.,687705837.82,19102.41,5.67
1990,Liberia 1990,8000,1,3.681,.,3000000,19058284.35,2381.99,9.67
1990,Libya 1990,86000,7,.,.,4000000,.,.,.
1990,St Lucia 1990,.,.,.,.,.,.,.,.
1990,Liechtenstein 1990,.,.,.,.,.,.,.,.
1990,Sri Lanka 1990,22000,0,2.328,9,19000000,281352433.08,12788.17,18.01
1990,Lesotho 1990,2000,0,5.069,15,.,41355103.72,20667.22,40.47
1990,Lithuania 1990,.,.,.,.,.,.,.,.
1990,Luxembourg 1990,1000,1,0.724,.,.,141544239.56,141402.84,2.76
1990,Latvia 1990,.,.,.,.,.,.,.,.
1990,Morocco 1990,195000,2,3.709,.,135000000,1308256715.51,6708.97,4.79
1990,Monaco 1990,.,.,.,.,.,.,.,.
1990,Moldova 1990,.,.,.,.,.,.,.,.
1990,Madagascar 1990,21000,0,1.231,.,.,46702587.05,2223.83,6.77
1990,Maldives 1990,.,.,.,.,.,.,.,.
1990,Mexico 1990,175000,1,0.505,3,34000000,2837907114.46,16216.52,2.47
1990,Marshall Islands 1990,.,.,.,.,.,.,.,.
1990,Macedonia 1990,.,.,.,.,.,.,.,.
1990,Mali 1990,13000,1,1.945,.,1000000,54280988.68,4175.14,12.69
1990,Malta 1990,2000,1,0.830,.,.,28382267.87,14184.04,1.47
1990,Myanmar 1990,230000,1,3.396,.,266000000,.,.,.
1990,Montenegro 1990,.,.,.,.,.,.,.,.
1990,Mongolia 1990,32000,4,4.624,.,.,85444348.60,2670.05,3.16
1990,Mozambique 1990,65000,1,3.368,.,.,83970543.02,1291.83,6.93
1990,Mauritania 1990,17000,3,3.941,.,16000000,52477907.83,3086.75,4.69
1990,Mauritius 1990,1000,0,0.346,.,6000000,11130383.68,11119.26,3.66
1990,Malawi 1990,7000,0,1.293,.,11000000,23094699.48,3298.77,17.37
1990,Malaysia (-1965) 1990,.,.,.,.,.,.,.,.
1990,Malaysia (1966-) 1990,130000,2,2.555,.,.,1464560644.19,11265.76,3.58
1990,Namibia 1990,.,.,7.070,.,.,281554083.21,.,.
1990,Niger 1990,5000,0,.,.,.,.,.,.
1990,Nigeria 1990,94000,0,0.792,.,18000000,446664112.40,4751.70,8.05
1990,Nicaragua 1990,28000,2,102.898,158,102000000,3990382546.16,142508.57,152.30
1990,Netherlands 1990,104000,2,2.361,.,279000000,10826994656.26,104104.72,3.39
1990,Norway 1990,51000,2,2.834,.,380000000,5466486237.67,107183.90,2.36
1990,Nepal 1990,35000,0,1.077,.,.,45546544.95,1301.29,5.77
1990,Nauru 1990,.,.,.,.,.,.,.,.
1990,New Zealand 1990,11000,1,2.329,.,23000000,1630677549.75,148229.94,7.05
1990,Oman 1990,32000,6,16.522,51,50000000,3132147105.43,97876.54,9.36
1990,Pakistan (-1970) 1990,.,.,.,.,.,.,.,.
1990,Pakistan (1971-) 1990,550000,2,7.127,36,635000000,4155853299.71,7556.08,13.94
1990,Panama 1990,11000,1,1.376,6,.,105155236.81,9558.70,3.09
1990,Peru 1990,125000,2,0.085,0,96000000,35025993.69,280.21,0.15
1990,Philippines 1990,109000,0,2.147,13,33000000,1333507977.97,12233.91,12.20
1990,Palau 1990,.,.,.,.,.,.,.,.
1990,Papua New Guinea 1990,4000,0,2.133,7,4000000,62405869.30,15597.57,22.16
1990,Poland 1990,313000,2,2.381,.,270000000,4320102831.15,13802.20,2.90
1990,"Korea, North 1990",1200000,10,.,.,295000000,.,.,.
1990,Portugal 1990,87000,2,2.382,.,77000000,3387283571.80,38933.85,2.73
1990,Paraguay 1990,16000,1,1.613,.,6000000,101066563.89,6316.27,4.25
1990,Qatar 1990,11000,4,10.744,.,5000000,.,.,.
1990,Romania 1990,126000,1,4.581,.,606000000,3893209881.76,30898.25,8.44
1990,Russia 1990,.,.,.,.,.,.,.,.
1990,Rwanda 1990,6000,0,3.730,30,.,64779108.53,10794.72,45.13
1990,Saudi Arabia 1990,146000,3,14.024,.,2113000000,27739328634.17,189994.10,15.72
1990,Serbia and Montenegro 1990,.,.,.,.,.,.,.,.
1990,Sudan (-2011) 1990,65000,1,2.576,.,3000000,291660434.17,4487.01,10.21
1990,Sudan (2012-) 1990,.,.,.,.,.,.,.,.
1990,Senegal 1990,18000,1,2.011,.,.,102922459.45,5717.60,8.39
1990,Singapore 1990,56000,4,4.632,27,531000000,2336460905.91,41721.77,2.52
1990,Solomon Islands 1990,.,.,.,.,.,.,.,.
1990,Sierra Leone 1990,5000,0,1.391,.,.,20590849.28,4117.35,10.94
1990,El Salvador 1990,55000,3,4.208,.,.,408212562.21,7421.91,4.02
1990,San Marino 1990,.,.,.,.,.,.,.,.
1990,Somalia 1990,47000,2,.,.,16000000,.,.,.
1990,Serbia 1990,.,.,.,.,.,.,.,.
1990,South Sudan 1990,.,.,.,.,.,.,.,.
1990,Sao Tome and Principe 1990,1000,3,.,.,.,.,.,.
1990,USSR 1990,.,.,.,.,.,.,.,.
1990,Suriname 1990,4000,3,.,.,.,.,.,.
1990,Slovakia 1990,.,.,.,.,.,.,.,.
1990,Slovenia 1990,.,.,.,.,.,.,.,.
1990,Sweden 1990,65000,1,2.390,.,90000000,6612420254.23,101727.98,3.15
1990,Swaziland 1990,3000,1,1.302,.,.,22656265.66,7549.57,3.74
1990,Seychelles 1990,.,.,4.026,.,0,24776002.48,.,.
1990,Syria 1990,408000,12,6.396,.,734000000,883539917.52,2165.53,1.95
1990,Chad 1990,50000,2,1.975,.,.,48101105.35,962.00,2.35
1990,Togo 1990,8000,1,3.116,.,.,50237455.83,6278.90,14.75
1990,Thailand 1990,283000,1,2.594,.,229000000,2450974911.06,8660.66,5.19
1990,Tajikistan 1990,.,.,.,.,.,.,.,.
1990,Turkmenistan 1990,.,.,.,.,.,.,.,.
1990,Timor-Leste 1990,.,.,.,.,.,.,.,.
1990,Tonga 1990,.,.,.,.,6000000,.,.,.
1990,Trinidad and Tobago 1990,2000,0,.,.,.,.,.,.
1990,Tunisia 1990,35000,1,2.013,7,4000000,337660031.98,9647.15,4.69
1990,Turkey 1990,769000,4,3.528,.,1247000000,9548409857.98,12416.64,2.48
1990,Tuvalu 1990,.,.,.,.,.,.,.,.
1990,Taiwan 1990,.,.,.,.,.,.,.,.
1990,Tanzania 1990,40000,0,2.046,.,.,181262917.01,4531.46,12.66
1990,Uganda 1990,60000,1,3.336,.,.,115599663.54,1926.63,9.66
1990,Ukraine 1990,.,.,.,.,.,.,.,.
1990,Uruguay 1990,25000,2,3.531,16,41000000,434822829.54,17392.22,4.39
1990,United States 1990,2180000,2,5.120,.,358000000,421781708602.33,193477.76,5.86
1990,Uzbekistan 1990,.,.,.,.,.,.,.,.
1990,St Vincent and the Grenadines 1990,.,.,.,.,.,.,.,.
1990,"Vietnam, South 1990",.,.,.,.,.,.,.,.
1990,Venezuela 1990,75000,1,.,.,172000000,.,.,.
1990,Vietnam 1990,1050000,3,7.911,.,116000000,1573600057.30,1498.67,4.97
